algorithm_name,env_n,size,best_solution,H,states,time
SA,11,10,"[4, 6, 3, 0, 7, 1, 8, 5, 2, 9]",0,222,0.001235
GA,11,10,"[7, 1, 4, 0, 9, 6, 2, 5, 1, 8]",1,50000,0.440575
random,12,10,"[9, 9, 2, 0, 8, 6, 4, 1, 7, 5]",2,50000,0.392350
HC,12,10,"[4, 0, 8, 5, 2, 6, 9, 7, 1, 3]",0,15,0.006335
SA,12,10,"[4, 2, 5, 9, 6, 1, 3, 7, 0, 8]",0,1326,0.007774
GA,12,10,"[1, 5, 8, 6, 9, 0, 2, 4, 7, 3]",0,1570,0.014255
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,50000,0.390011
HC,13,10,"[4, 7, 1, 6, 2, 0, 8, 3, 5, 9]",0,127,0.055296
SA,13,10,"[9, 6, 1, 3, 8, 0, 7, 4, 2, 5]",0,1215,0.006856
GA,13,10,"[3, 6, 0, 8, 1, 5, 2, 9, 7, 4]",1,50000,0.451455
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,50000,0.400008
HC,14,10,"[1, 9, 6, 3, 0, 2, 8, 5, 7, 4]",0,6,0.002144
SA,14,10,"[2, 8, 5, 9, 4, 1, 0, 6, 3, 7]",1,1839,0.010335
GA,14,10,"[0, 4, 6, 9, 3, 1, 8, 2, 5, 7]",0,1472,0.012274
random,15,10,"[1, 8, 4, 2, 7, 9, 6, 0, 5, 3]",1,50000,0.393264
HC,15,10,"[4, 6, 8, 2, 7, 3, 0, 9, 1, 5]",0,12,0.004730
SA,15,10,"[8, 1, 4, 9, 7, 0, 3, 6, 2, 5]",0,992,0.005522
GA,15,10,"[3, 8, 4, 1, 9, 0, 5, 7, 2, 6]",0,9606,0.083423
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,50000,0.417097
HC,16,10,"[3, 5, 7, 9, 1, 6, 2, 0, 8, 4]",0,13,0.005364
SA,16,10,"[7, 4, 6, 0, 9, 1, 5, 2, 8, 3]",0,751,0.004194
GA,16,10,"[4, 8, 0, 3, 1, 7, 9, 6, 2, 5]",0,2550,0.021611
random,17,10,"[6, 0, 5, 7, 1, 6, 8, 2, 4, 3]",2,50000,0.514264
HC,17,10,"[5, 2, 6, 9, 3, 8, 0, 4, 1, 7]",0,21,0.010995
SA,17,10,"[9, 5, 2, 8, 3, 0, 7, 1, 4, 6]",0,489,0.004751
GA,17,10,"[3, 6, 9, 2, 0, 7, 4, 1, 5, 0]",1,50000,0.521272
random,18,10,"[3, 0, 6, 9, 2, 8, 1, 4, 2, 5]",2,50000,0.391998
HC,18,10,"[4, 6, 1, 9, 7, 3, 0, 2, 8, 5]",0,54,0.022871
SA,18,10,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",0,945,0.005244
GA,18,10,"[5, 2, 6, 9, 3, 8, 0, 4, 1, 7]",0,1276,0.010379
random,19,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 0]",2,50000,0.393770
HC,19,10,"[8, 3, 5, 7, 1, 6, 0, 2, 4, 9]",0,13,0.005260
SA,19,10,"[1, 7, 2, 8, 6, 4, 9, 0, 5, 3]",0,632,0.003534
GA,19,10,"[2, 5, 8, 0, 3, 6, 9, 1, 4, 7]",0,9802,0.085681
random,20,10,"[3, 5, 2, 8, 1, 4, 7, 0, 6, 9]",1,50000,0.394482
HC,20,10,"[9, 7, 4, 1, 3, 0, 6, 8, 5, 2]",0,72,0.030558
SA,20,10,"[2, 5, 8, 6, 1, 3, 7, 0, 4, 9]",0,1597,0.008997
GA,20,10,"[2, 7, 9, 4, 8, 8, 0, 3, 1, 6]",1,50000,0.439179
random,21,10,"[5, 8, 1, 3, 0, 9, 7, 9, 3, 6]",2,50000,0.389571
HC,21,10,"[5, 3, 9, 6, 4, 1, 7, 0, 2, 8]",0,20,0.008257
SA,21,10,"[3, 5, 9, 6, 0, 2, 8, 1, 7, 4]",1,1839,0.010343
GA,21,10,"[5, 2, 4, 7, 0, 8, 3, 1, 6, 9]",0,2256,0.019113
random,22,10,"[2, 4, 6, 0, 9, 1, 7, 5, 8, 8]",2,50000,0.392979
HC,22,10,"[6, 3, 7, 0, 4, 8, 1, 5, 9, 2]",0,109,0.047343
SA,22,10,"[6, 4, 2, 5, 9, 9, 1, 3, 7, 0]",1,1839,0.010264
GA,22,10,"[3, 7, 4, 2, 0, 9, 1, 5, 8, 6]",0,2060,0.017294
random,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,50000,0.390219
HC,23,10,"[4, 1, 7, 9, 6, 3, 0, 8, 5, 2]",0,7,0.002608
SA,23,10,"[7, 2, 8, 1, 4, 9, 0, 9, 3, 6]",1,1839,0.010720
GA,23,10,"[6, 8, 5, 2, 0, 7, 4, 1, 3, 9]",0,1864,0.015726
random,24,10,"[6, 9, 5, 0, 4, 1, 8, 2, 7, 3]",1,50000,0.398168
HC,24,10,"[1, 9, 2, 6, 8, 3, 0, 4, 7, 5]",0,72,0.030665
SA,24,10,"[4, 1, 3, 9, 6, 8, 0, 2, 7, 5]",0,531,0.003044
GA,24,10,"[3, 1, 6, 4, 9, 0, 8, 5, 7, 2]",0,2550,0.021599
random,25,10,"[6, 1, 3, 7, 0, 2, 5, 9, 1, 4]",1,50000,0.389905
HC,25,10,"[9, 5, 3, 8, 0, 2, 6, 1, 7, 4]",0,13,0.005156
SA,25,10,"[2, 7, 5, 8, 1, 4, 0, 3, 6, 9]",0,619,0.003464
GA,25,10,"[8, 5, 0, 2, 9, 7, 1, 3, 1, 6]",1,50000,0.437249
